playerID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
adamsne01,NULL,Howard,O'Neale,Adams,NULL,NULL,NULL,Neal,F-C,0,0,75,195,Arkansas,NULL,1919-01-21,"El Paso",AR,USA,Beebe,Beebe,AR,USA,1998-10-27,W
adamsra01,NULL,Raymond,NULL,Adams,NULL,NULL,NULL,Ray,F-C,0,0,74,185,DePaul,NULL,0000-00-00,NULL,NULL,NULL,"St. Patrick",Chicago,IL,USA,0000-00-00,W
adamssp01,NULL,Glenn,Reed,Adams,NULL,NULL,Jr.,Sparky,F,0,0,73,185,Marquette,NULL,1917-04-04,Carpentersville,IL,USA,Dundee,Dundee,IL,USA,2011-03-31,W
adamswi01,NULL,Willie,NULL,Adams,NULL,NULL,NULL,NULL,F,0,0,71,160,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
addisra01,Rafael,Rafael,NULL,Addison,NULL,NULL,NULL,NULL,F-G,0,0,79,215,Syracuse,NULL,1964-07-22,"Jersey City",NJ,USA,Snyder,"Jersey City",NJ,USA,0000-00-00,B
adelmri01,Rick,Richard,Leonard,Adelman,NULL,NULL,NULL,Rick,G,0,0,73,175,"Loyola (CA)",NULL,1946-06-16,Lynwood,CA,USA,"St. Pius X",Downey,CA,USA,0000-00-00,W
adrieje01,Jeff,Jeff,NULL,Adrien,NULL,NULL,NULL,NULL,F,0,0,79,243,Connecticut,NULL,1986-02-10,Brookline,MA,USA,"Brookline/Brewster Academy","Brookline/ Wolfeboro",MA/NH,USA,0000-00-00,B
adubari01,Richie,Richie,NULL,Adubato,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL
afflaar01,Arron,Arron,Agustin,Afflalo,NULL,NULL,NULL,NULL,G,0,0,77,215,UCLA,NULL,1985-10-15,"Los Angeles",CA,USA,Centennial,Compton,CA,USA,0000-00-00,B
agerma01,Maurice,Maurice,Darnell,Ager,NULL,NULL,NULL,NULL,G,0,0,77,202,"Michigan State",NULL,1984-02-09,Detroit,MI,USA,Crocket,Detroit,MI,USA,0000-00-00,B
aguirma01,Mark,Mark,Anthony,Aguirre,NULL,NULL,NULL,NULL,F-G,0,0,78,232,DePaul,NULL,1959-12-10,Chicago,IL,USA,"Austin / Westinghouse Voc.",Chicago,IL,USA,0000-00-00,B
ahearbl01,Blake,Daniel,Blake,Ahearn,NULL,NULL,NULL,Blake,G,0,0,74,190,"SW Missouri State",NULL,1984-05-27,"St. Louis",MO,USA,"De Smet Jesuit","St. Louis",MO,USA,0000-00-00,W
ahearja01,NULL,John,NULL,Ahearn,NULL,NULL,NULL,"Jake, Johnny",G,0,0,74,185,"St. John's (NY)",NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
aingeda01,Danny,Daniel,Ray,Ainge,NULL,NULL,NULL,Danny,G-F,0,0,76,175,"Brigham Young",NULL,1959-03-17,Eugene,OR,USA,"North Eugene","North Eugene",OR,USA,0000-00-00,W
aitchma01,Matt,Matthew,Alexander,Aitch,NULL,NULL,Jr.,Matt,F,0,0,79,230,"Michigan State","Moberly Area CC",1944-09-21,"St. Louis",MO,USA,"Lincoln / Maplewood","Richmond / St. Louis",MO,USA,2007-04-04,B
ajaxwa01,NULL,Warren,J.,Ajax,NULL,NULL,NULL,NULL,F-C,0,0,74,170,Minnesota,NULL,1921-05-12,Minneapolis,MN,USA,Central,Minneapolis,MN,USA,2004-12-19,W
ajincal01,Alexis,Alexis,NULL,Ajinca,NULL,NULL,NULL,NULL,C,0,0,84,220,none,NULL,1988-05-06,Saint-Etienne,NULL,FRA,INSEP,Paris,NULL,FRA,0000-00-00,B
akinhe01,Henry,Henry,T.,Akin,NULL,NULL,NULL,NULL,C-F,0,0,82,225,"Morehead State","William Carey (DNP)",1944-07-31,Detroit,MI,USA,Troy,Troy,MI,USA,0000-00-00,W
alabiso01,Solomon,Makafan,Solomon,Alabi,NULL,NULL,NULL,Solomon,C,0,0,85,251,"Florida State",NULL,1988-03-21,Kaduna,NULL,NGR,"Montverde Academy",Montverde,FL,USA,0000-00-00,B
alarima01,Mark,Mark,Steven,Alarie,NULL,NULL,NULL,NULL,F,0,0,80,217,Duke,NULL,1963-12-11,Phoenix,AZ,USA,"Brophy Prep",Phoenix,AZ,USA,0000-00-00,W
albecst01,Stan,Stan,NULL,Albeck,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL
alcorga01,Gary,Gary,R.,Alcorn,NULL,NULL,NULL,NULL,C,0,0,81,225,"Fresno State","Fresno City",1936-10-08,NULL,NULL,NULL,Roosevelt,Fresno,CA,USA,2006-11-29,W
aldrico01,Cole,Cole,David,Aldrich,NULL,NULL,NULL,NULL,C,0,0,83,245,Kansas,NULL,1988-10-31,Burnsville,MN,USA,Jefferson,Bloomington,MN,USA,0000-00-00,W
aldrila01,LaMarcus,LaMarcus,Nurae,Aldridge,NULL,NULL,NULL,NULL,F,0,0,83,240,Texas,NULL,1985-07-19,Dallas,TX,USA,Seagoville,Dallas,TX,USA,0000-00-00,B
aleksch01,Chuck,Charles,NULL,Aleksinas,NULL,NULL,NULL,Chuck,C,0,0,83,260,Connecticut,Kentucky,1959-02-26,Litchfield,CT,USA,Wamogo,Litchfield,CT,USA,0000-00-00,W
alexaco01,Cory,Cory,Lynn,Alexander,NULL,NULL,NULL,NULL,G,0,0,73,185,Virginia,NULL,1973-06-22,Waynesboro,VA,USA,"Oak Hill Academy","Mouth of Wilson",VA,USA,0000-00-00,B
alexaco02,Courtney,Courtney,Jason,Alexander,NULL,NULL,NULL,NULL,G,0,0,77,205,"Fresno State",Virginia,1977-04-27,Bridgeport,CT,USA,Jordan,Durham,NC,USA,0000-00-00,B
alexaga01,Gary,Gary,R.,Alexander,NULL,NULL,NULL,NULL,F,0,0,79,240,Jacksonville,NULL,1969-11-01,Jacksonville,FL,USA,"William M. Raines",Jacksonville,FL,USA,0000-00-00,B
alexajo01,Joe,Joe,Anthony,Alexander,NULL,NULL,NULL,NULL,F,0,0,80,230,"West Virginia",NULL,1986-12-26,Koushoung,NULL,TAI,"Linganore / Hargrave Military Academy","Frederick / Chatham","MD / VA",USA,0000-00-00,W
alexame01,NULL,Merle,NULL,Alexander,NULL,NULL,NULL,NULL,C-F,0,0,78,185,none,NULL,1907-09-02,Rushville,IN,USA,NULL,NULL,NULL,NULL,1987-02-02,W
alexavi01,Victor,Victor,Joe,Alexander,NULL,NULL,NULL,NULL,C-F,0,0,81,265,"Iowa State",NULL,1969-08-31,Detroit,MI,USA,Denby,Detroit,MI,USA,0000-00-00,B
alforst01,Steve,Stephen,Todd,Alford,NULL,NULL,NULL,Steve,G,0,0,74,183,Indiana,NULL,1964-11-23,Franklin,IN,USA,Chrysler,"New Castle",IN,USA,0000-00-00,W
alixlo01,NULL,Lou,NULL,Alix,NULL,NULL,NULL,NULL,C,0,0,81,210,"Miami (FL)",NULL,0000-00-00,NULL,NULL,NULL,"David Prouty",Spencer,MA,USA,0000-00-00,W
allaija01,NULL,Jack,NULL,Allain,NULL,NULL,NULL,NULL,C,0,0,80,250,"Idaho State","College of San Mateo",1934-12-09,NULL,NULL,NULL,"Junipero Serra","San Mateo",CA,USA,0000-00-00,W
allenbi01,Bill,Bill,NULL,Allen,NULL,NULL,NULL,NULL,C-F,0,0,80,205,"New Mexico State",NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,B
allenbo01,Bob,Robert,J.,Allen,NULL,NULL,NULL,Bob,F,0,0,81,205,Marshall,NULL,1946-07-17,"(ht) Port Huron",MI,USA,"St. Stephen","Port Huron",MI,USA,0000-00-00,W
allenfr01,NULL,Francis,NULL,Allen,NULL,NULL,NULL,"Frank, Tiny",C,0,0,77,245,"Oklahoma A&M","Ball State",0000-00-00,Champaign,IL,USA,"Muncie Centrral",Muncie,IN,USA,1957-04-16,W
allenje01,Jerome,Jerome,Byron,Allen,NULL,NULL,NULL,NULL,G,0,0,76,184,Pennsylvania,NULL,1973-01-28,Philadelphia,PA,USA,"Episcopal Academy","Merion Station",PA,USA,0000-00-00,B
allenla01,Lavoy,Lavoy,NULL,Allen,NULL,NULL,NULL,NULL,F,0,0,81,225,Temple,NULL,1989-02-04,Trenton,NJ,USA,Pennsbury,"Fairless Hills",PA,USA,0000-00-00,B
allenlu01,Lucius,Lucius,Oliver,Allen,NULL,NULL,Jr.,NULL,G,0,0,74,175,UCLA,NULL,1947-09-26,"Kansas City",KS,USA,Wyandotte,"Kansas City",KS,USA,0000-00-00,B
allenma01,Malik,Malik,NULL,Allen,NULL,NULL,NULL,NULL,F,0,0,82,255,Villanova,NULL,1978-06-27,Willingboro,NJ,USA,Shawnee,Medford,NJ,USA,0000-00-00,B
allenra01,Randy,James,Randall,Allen,NULL,NULL,NULL,Randy,F,0,0,80,220,"Florida State",NULL,1965-01-26,Milton,FL,USA,Milton,Milton,FL,USA,0000-00-00,W
allenra02,Ray,Walter,Ray,Allen,NULL,NULL,NULL,Ray,G,0,0,77,205,Connecticut,NULL,1975-07-20,Merced,CA,USA,Hillcrest,Dalzell,SC,USA,0000-00-00,B
allenre01,NULL,Bill,NULL,Allen,NULL,NULL,NULL,Red,G,0,0,73,180,"St. John's (NY)",NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
allento01,Tony,Anthony,NULL,Allen,NULL,NULL,NULL,Tony,G,0,0,76,213,"Oklahoma State","Butler Co. CC / Wabash Valley",1982-01-11,Chicago,IL,USA,Crane,Chicago,IL,USA,0000-00-00,B
allenwi01,Willie,Willie,NULL,Allen,NULL,NULL,NULL,NULL,F,0,0,78,230,"Miami (FL)",NULL,1949-02-08,NULL,NULL,NULL,"Richard Montgomery",Rockville,MD,USA,0000-00-00,B
allisod01,Odis,Odis,NULL,Allison,NULL,NULL,Jr.,NULL,F,0,0,78,195,UNLV,"Laney JC",1949-10-02,NULL,NULL,NULL,McClymonds,Oakland,CA,USA,0000-00-00,B
allrela01,Lance,Lance,Collin,Allred,NULL,NULL,NULL,NULL,C,0,0,83,250,"Weber State",Utah,1981-02-02,"Salt Lake City",UT,USA,East,"Salt Lake City",UT,USA,0000-00-00,W
allumda01,Darrell,Darrell,Wilbert,Allums,NULL,NULL,Jr.,NULL,F,0,0,80.5,220,UCLA,NULL,1958-09-12,"Los Angeles",CA,USA,Lynwood,Lynwood,CA,USA,0000-00-00,B
almonmo01,Morris,Morris,NULL,Almond,NULL,NULL,NULL,NULL,G,0,0,78,215,Rice,NULL,1985-02-02,Dalton,GA,USA,McEachern,"Powder Springs",GA,USA,0000-00-00,B
alstode01,Derrick,Derrick,Samuel,Alston,NULL,NULL,NULL,NULL,F,0,0,83,225,Duquesne,NULL,1972-08-20,Bronx,NY,USA,Hoboken,Hoboken,NJ,USA,0000-00-00,B
alstora01,Rafer,Rafer,Jamel,Alston,NULL,NULL,NULL,"Skip to my Lou",G,0,0,74,171,"Fresno State","Ventura JC / Fresno CC",1976-07-24,"New York",NY,USA,"Benjamin Cardozo",Bayside,NY,USA,0000-00-00,B
alterch01,NULL,Leonard,NULL,Alterman,NULL,NULL,NULL,Chink,G,0,0,75,185,Denver,NULL,1922-03-08,NULL,NULL,NULL,"North ",Denver,CO,USA,2009-02-06,W
alumape01,Peter,Peter,NULL,Aluma,NULL,NULL,NULL,NULL,C,0,0,82,260,Liberty,NULL,1973-04-23,"Agbe, Lagos",NULL,NGR,"Okota Grammar School",Isolo,NULL,NGR,0000-00-00,B
alvaral01,NULL,Armando,NULL,Alvarez,NULL,NULL,NULL,Al,G,0,0,72,160,Toledo,NULL,1912-10-05,NULL,NULL,ARG,NULL,Toledo,OH,USA,1995-03-17,W
alwinbo01,NULL,Robert,H.,Alwin,NULL,NULL,NULL,Bob,G,0,0,70,145,Wisconsin,NULL,1920-08-12,NULL,NULL,NULL,"East ",Madison,WI,USA,2003-10-08,W
amaecjo01,John,John,Ekwugha,Amaechi,NULL,NULL,NULL,NULL,C-F,0,0,81,270,"Penn State",Vanderbilt,1970-11-26,Boston,MA,USA,"St. John's",Toledo,OH,USA,0000-00-00,B
amayaas01,Ashraf,Ashraf,NULL,Amaya,NULL,NULL,NULL,Andrew,F,0,0,79,230,"Southern Illinois",NULL,1971-11-23,"Oak Park",IL,USA,"Walter Lutheran","Melrose Park",IL,USA,0000-00-00,B
aminual01,Al-Farouq,Al-Farouq,NULL,Aminu,NULL,NULL,NULL,NULL,F,0,0,81,215,"Wake Forest",NULL,1990-09-21,Atlanta,GA,USA,Norcross,Norcross,GA,USA,0000-00-00,B
amsdera01,NULL,Ralph,O.,Amsden,NULL,NULL,Jr.,NULL,C,0,0,76,200,Marquette,NULL,1917-01-01,NULL,NULL,NULL,"Oak Park","Oak Park",IL,USA,1988-11-02,W
amundlo01,Louis,Louis,Gabriel,Amundson,NULL,NULL,NULL,Lou,F,0,0,81,225,UNLV,NULL,1982-12-07,Ventura,CA,USA,"Boulder / Monarch","Boulder / Louisville",CO,USA,0000-00-00,W
anderal01,Alan,Alan,Jeffery,Anderson,NULL,NULL,NULL,NULL,G-F,0,0,78,220,"Michigan State",NULL,1982-10-16,Minneapolis,MN,USA,DeLaSalle,Minneapolis,MN,USA,0000-00-00,B
anderan01,Andy,Andrew,Emil,Anderson,NULL,NULL,NULL,Andy,G,0,0,74,184,Canisius,NULL,1945-07-06,Buffalo,NY,USA,Maryvale,Maryvale,NY,USA,0000-00-00,W
anderan02,Antonio,Antonio,Andres,Anderson,NULL,NULL,NULL,NULL,G,0,0,78,215,"Memphis ",NULL,1985-06-05,Lynn,MA,USA,"Laurinburg Prep /Maine Cent/Lynn Vocl / Lynn English",Laurinburg/Pittsfield/Lynn/Lynn,NC/ME/MA/MA,USA,0000-00-00,B
anderan03,NULL,Clarence,NULL,Anderson,NULL,NULL,NULL,Andy,F,0,0,77,212,"St. Mary's",NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
anderar01,NULL,Art,NULL,Anderson,NULL,NULL,NULL,NULL,C,0,0,78,190,"Augustana (IL)",NULL,0000-00-00,"(ht) Chicago",IL,USA,NULL,NULL,NULL,NULL,0000-00-00,W
anderbi01,NULL,Bill,NULL,Anderson,NULL,NULL,NULL,NULL,F-G,0,0,72,170,none,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
anderbo01,Bob,Robert,H.,Anderegg,NULL,NULL,NULL,Bob,F-G,0,0,75,200,"Michigan State","Bradley ?",1937-08-24,Monroe,WI,USA,Monroe,Monroe,WI,USA,0000-00-00,W
anderca01,Cadillac,Carl,NULL,Anderson,NULL,NULL,NULL,Buttercup,G,0,0,75,215,USC,NULL,0000-00-00,NULL,NULL,NULL,Anderson,Anderson,IN,USA,0000-00-00,W
anderch01,Chris,Chris,NULL,Andersen,NULL,NULL,NULL,Birdman,F-C,0,0,82,220,"Blinn CC",NULL,1978-07-07,Iola,TX,USA,Iola,Iola,TX,USA,0000-00-00,W
andercl01,Cliff,Clifford,V.,Anderson,NULL,NULL,NULL,Cliff,G-F,0,0,74,200,"St. Joseph's (PA)",NULL,1944-09-07,"(ht) Philadelphia",PA,USA,"Thomas Edison",Philadelphia,PA,USA,0000-00-00,B
anderda01,"Dan W.",Daniel,W.,Anderson,NULL,NULL,NULL,Dan,C,0,0,82,230,Augsburg,NULL,1943-02-15,Minneapolis,MN,USA,NULL,NULL,NULL,NULL,0000-00-00,W
anderda02,Daniel,Daniel,Edward,Anderson,NULL,NULL,NULL,"Dan, Danny",G,0,0,74,185,USC,NULL,1951-01-01,NULL,NULL,NULL,North,Torrance,CA,USA,0000-00-00,W
anderda03,David,David,Emil,Andersen,NULL,NULL,NULL,NULL,C,0,0,83,245,"Australian Institute of Sport",NULL,1980-06-23,Carlton,NULL,AUS,NULL,NULL,NULL,NULL,0000-00-00,W
anderde01,Derek,Derek,Lamont,Anderson,NULL,NULL,NULL,NULL,G,0,0,76,194,Kentucky,"Ohio State",1974-07-18,Louisville,KY,USA,Doss,Louisville,KY,USA,0000-00-00,B
anderdw01,Dwight,Dwight,Anthony,Anderson,NULL,NULL,NULL,NULL,G,0,0,75,175,USC,Kentucky,1960-12-28,Dayton,OH,USA,Roth,Dayton,OH,USA,0000-00-00,B
anderer01,Eric,Eric,Walfred,Anderson,NULL,NULL,NULL,NULL,F,0,0,81,220,Indiana,NULL,1970-05-26,Chicago,IL,USA,"St. Francis DeSales",Chicago,IL,USA,0000-00-00,W
anderge01,NULL,Gene,NULL,Anderson,NULL,NULL,NULL,NULL,G-F,0,0,74,190,Purdue,NULL,0000-00-00,NULL,NULL,NULL,Franklin?,Franklin?,IN,USA,0000-00-00,W
anderge02,NULL,Gene,NULL,Anderson,NULL,NULL,NULL,NULL,F,0,0,0,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,W
andergr01,Greg,Gregory,Wayne,Anderson,NULL,NULL,NULL,"Greg, Cadillac",F-C,0,0,82,230,Houston,NULL,1964-06-22,Houston,TX,USA,"E.E. Worthing",Houston,TX,USA,0000-00-00,B
anderja01,James,James,Lee,Anderson,NULL,NULL,NULL,NULL,G,0,0,78,215,"Oklahoma State",NULL,1989-03-25,"El Dorado",AR,USA,"Junction City","Junction City",AR,USA,0000-00-00,B
anderje01,Jerome,Jerome,NULL,Anderson,NULL,NULL,NULL,Jay,G,0,0,77,195,"West Virginia",NULL,1953-10-09,Mullens,WV,USA,Mullens,Mullens,WV,USA,2009-08-01,B
anderjj01,J.J.,Mitchell,Keith,Anderson,NULL,NULL,NULL,J.J.,F,0,0,80,195,Bradley,NULL,1960-09-23,Chicago,IL,USA,Metro,Chicago,IL,USA,0000-00-00,B
anderke01,Kenny,Kenneth,NULL,Anderson,NULL,NULL,NULL,Kenny,G,0,0,72,168,"Georgia Tech",NULL,1970-10-09,Corona,NY,USA,"Archbishop Molloy",Briarwood,NY,USA,0000-00-00,B
anderki01,Kim,Keith,Kim,Anderson,NULL,NULL,NULL,Kim,F,0,0,79,200,Missouri,NULL,1955-05-12,Sedalia,MO,USA,Smith-Cotton,Sedalia,MO,USA,0000-00-00,W
anderla01,LaDell,LaDell,NULL,Andersen,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL
andermi01,Michael,Michael,Levin,Anderson,NULL,NULL,NULL,NULL,G,0,0,71,184,Drexel,NULL,1966-03-23,Philadelphia,PA,USA,Engineering&Sciences,Philadelphia,PA,USA,0000-00-00,B
anderni01,Nick,Nelison,NULL,Anderson,NULL,NULL,NULL,Nick,F-G,0,0,78,205,Illinois,NULL,1968-01-20,Chicago,IL,USA,"Prosser Vocational / Neal F. Simeon",Chicago,IL,USA,0000-00-00,B
anderri01,Richard,Richard,Andrew,Anderson,NULL,NULL,NULL,NULL,F-C,0,0,82,240,"Cal. St.-Santa Barbara",NULL,1960-11-19,"San Pedro",CA,USA,"Rancho Alamitos","Garden Grove",CA,USA,0000-00-00,W
anderro01,Ron,Ronald,Gene,Anderson,NULL,NULL,NULL,Ron,F-G,0,0,79,215,"Fresno State","Santa Barbara C.C.",1958-10-15,Chicago,IL,USA,Bowen(DNP),Chicago,IL,USA,0000-00-00,B
anderry01,Ryan,Ryan,James,Anderson,NULL,NULL,NULL,NULL,F,0,0,82,240,California,NULL,1988-05-06,Sacramento,CA,USA,"Oak Ridge","El Dorado Hills",CA,USA,0000-00-00,W
andersh01,Shandon,Shandon,Rodriguez,Anderson,NULL,NULL,NULL,Rod,F-G,0,0,78,208,Georgia,NULL,1973-12-31,Atlanta,GA,USA,Crim,Atlanta,GA,USA,0000-00-00,B
anderwa01,Wally,Walter,Charles,Anderzunas,NULL,NULL,NULL,Wally,C-F,0,0,79,220,Creighton,NULL,1946-01-11,NULL,NULL,NULL,"Creighton Prep",Omaha,NE,USA,1989-05-28,W
anderwi01,Willie,Willie,Lloyd,Anderson,NULL,NULL,Jr.,Chill,G-F,0,0,79,190,Georgia,NULL,1967-01-08,Greenville,SC,USA,"East Atlanta",Atlanta,GA,USA,0000-00-00,B
andreer01,NULL,Ernest,Henry,Andres,NULL,NULL,NULL,"Ernie, Junie",G-F,0,0,73,200,Indiana,NULL,1918-01-11,Jeffersonville,IN,USA,Jeffersonville,Jeffersonville,IN,USA,2008-09-19,W
andrima01,Martynas,Martynas,NULL,Andriuskevicius,NULL,NULL,NULL,Marty,C,0,0,86,240,none,NULL,1986-03-12,Kaunas,NULL,LTU,NULL,NULL,NULL,NULL,0000-00-00,W
anieldo01,Don,Donald,Robert,Anielak,NULL,NULL,NULL,"Don, Moose",F,0,0,79,190,"SW Missouri State","Bradley / Moberly JC",1930-11-01,"St. Louis",MO,USA,Bland,Bland,MO,USA,1995-11-19,W
ankerja01,Jack,Jack,NULL,Ankerson,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0000-00-00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL
anslemi01,Michael,Michael,Antonio,Ansley,NULL,NULL,NULL,NULL,F,0,0,79,225,Alabama,NULL,1967-02-08,Birmingham,AL,USA,Jackson-Olin,Birmingham,AL,USA,0000-00-00,B
anstech01,Chris,Christopher,John,Anstey,NULL,NULL,NULL,Chris,C,0,0,84,249,none,NULL,1975-01-01,Melbourne,NULL,AUS,"Catholic Regional College","Melbourne   ",NULL,AUS,0000-00-00,W
anthoca01,Carmelo,Carmelo,Kyam,Anthony,NULL,NULL,NULL,Melo,F,0,0,80,220,Syracuse,NULL,1984-05-29,Brooklyn,NY,USA,"Towson Catholic / Oak Hill Academy","Towson / Mouth of Wilson","MD / VA",USA,0000-00-00,B
anthogr01,Greg,Gregory,Carleton,Anthony,NULL,NULL,NULL,"Greg, G-Money",G,0,0,72,176,UNLV,Portland,1967-11-15,"Las Vegas",NV,USA,Rancho,"North Las Vegas",NV,USA,0000-00-00,B
anthojo01,Joel,Joel,Vincent,Anthony,NULL,NULL,NULL,NULL,C,0,0,81,245,UNLV,"Pensacola JC",1982-08-09,Montreal,QU,CAN,"Dawson Prep / Selwyn House School",Montreal,QU,CAN,0000-00-00,B
anthopa01,NULL,Paul,NULL,Anthony,NULL,NULL,NULL,NULL,C-F-G,0,0,77,195,"Washington & Jefferson",NULL,0000-00-00,NULL,NULL,NULL,Glassport,Glassport,PA,USA,0000-00-00,W
