year,lgID,tmID,franchID,confID,divID,rank,confRank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmRebound,d_tmRebound,homeWon,homeLost,awayWon,awayLost,neutWon,neutLoss,confWon,confLoss,divWon,divLoss,pace,won,lost,games,min,arena,attendance,bbtmID
1937,NBL,WHT,HAM,NULL,WE,2,0,CF,"Whiting Ciesar All-Americans",238,0,144,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,7,0,5,3,0,0,0,0,0,0,0,12,3,15,NULL,NULL,0,WHT
1938,NBL,AFS,AFS,NULL,EA,1,0,WC,"Akron Firestone Non-Skids",490,0,223,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,0,0,11,2,13,1,0,0,0,0,0,0,0,24,3,27,NULL,NULL,0,AFS
1938,NBL,AGW,AGW,NULL,EA,2,0,NULL,"Akron Goodyear Wingfoots",367,0,220,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,0,0,7,7,7,7,0,0,0,0,0,0,0,14,14,28,NULL,NULL,0,AGW
1938,NBL,CWH,CWH,NULL,EA,3,0,NULL,"Warren Penns/Cleveland White Horses",406,0,216,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,9,5,5,9,0,0,0,0,0,0,0,14,14,28,NULL,NULL,0,CWH
1938,NBL,HAM,HAM,NULL,WE,4,0,NULL,"Hammond Ciesar All-Americans",367,0,238,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,0,0,4,10,0,14,0,0,0,0,0,0,0,4,24,28,NULL,NULL,0,HAM
1938,NBL,INK,INJ,NULL,WE,2,0,NULL,"Indianapolis Kautskys",449,0,227,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,0,0,9,4,4,9,0,0,0,0,0,0,0,13,13,26,NULL,NULL,0,INK
1938,NBL,OSH,OSH,NULL,WE,1,0,LC,"Oshkosh All-Stars",448,0,258,0,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,0,0,10,4,7,7,0,0,0,0,0,0,0,17,11,28,NULL,NULL,0,OSH
1938,NBL,PGP,PGP,NULL,EA,4,0,NULL,"Pittsburgh Pirates",394,0,207,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,9,5,4,9,0,0,0,0,0,0,0,13,14,27,NULL,NULL,0,PTP
1938,NBL,SHE,SHE,NULL,WE,3,0,NULL,"Sheboygan Redskins",392,0,212,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,0,7,7,4,10,0,0,0,0,0,0,0,11,17,28,NULL,NULL,0,SHE
1939,NBL,AFS,AFS,NULL,EA,1,0,WC,"Akron Firestone Non-Skids",451,0,291,0,0,0,0,0,0,0,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,10,3,8,6,0,0,0,0,0,0,0,18,9,27,NULL,NULL,0,AFS
1939,NBL,AGW,AGW,NULL,EA,3,0,NULL,"Akron Goodyear Wingfoots",376,0,294,0,0,0,0,0,0,0,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,8,6,6,8,0,0,0,0,0,0,0,14,14,28,NULL,NULL,0,AGW
1939,NBL,CHB,CHF,NULL,WE,3,0,NULL,"Chicago Bruins",383,0,264,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,10,4,4,10,0,0,0,0,0,0,0,14,14,28,NULL,NULL,0,CHB
1939,NBL,DTE,DTE,NULL,EA,2,0,CF,"Detroit Eagles",389,0,296,0,0,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,12,2,5,8,0,0,0,0,0,0,0,17,10,27,NULL,NULL,0,DTE
1939,NBL,HAM,HAM,NULL,WE,4,0,NULL,"Hammond Ciesar All-Americans",372,0,288,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,7,7,2,12,0,0,0,0,0,0,0,9,19,28,NULL,NULL,0,HAM
1939,NBL,INK,INJ,NULL,EA,4,0,NULL,"Indianapolis Kautskys",431,0,301,0,0,0,0,0,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,6,8,3,11,0,0,0,0,0,0,0,9,19,28,NULL,NULL,0,INK
1939,NBL,OSH,OSH,NULL,WE,1,0,LC,"Oshkosh All-Stars",433,0,329,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,0,12,2,3,11,0,0,0,0,0,0,0,15,13,28,NULL,NULL,0,OSH
1939,NBL,SHE,SHE,NULL,WE,2,0,CF,"Sheboygan Redskins",376,0,276,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,11,3,4,10,0,0,0,0,0,0,0,15,13,28,NULL,NULL,0,SHE
1940,NBL,AFS,AFS,NULL,NULL,3,0,CS,"Akron Firestone Non-Skids",389,0,236,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,0,0,7,5,6,6,0,0,0,0,0,0,0,13,11,24,NULL,NULL,0,AFS
1940,NBL,AGW,AGW,NULL,NULL,6,0,NULL,"Akron Goodyear Wingfoots",342,0,242,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,6,6,5,7,0,0,0,0,0,0,0,11,13,24,NULL,NULL,0,AGW
1940,NBL,CHB,CHF,NULL,NULL,5,0,NULL,"Chicago Bruins",350,0,213,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,0,8,4,3,9,0,0,0,0,0,0,0,11,13,24,NULL,NULL,0,CHB
1940,NBL,DTE,DTE,NULL,NULL,4,0,CS,"Detroit Eagles",363,0,245,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,0,0,8,4,4,8,0,0,0,0,0,0,0,12,12,24,NULL,NULL,0,DTE
1940,NBL,HAM,HAM,NULL,NULL,7,0,NULL,"Hammond Ciesar All-Americans",351,0,224,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,0,0,6,6,0,12,0,0,0,0,0,0,0,6,18,24,NULL,NULL,0,HAM
1940,NBL,OSH,OSH,NULL,NULL,1,0,WC,"Oshkosh All-Stars",372,0,268,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,11,1,7,5,0,0,0,0,0,0,0,18,6,24,NULL,NULL,0,OSH
1940,NBL,SHE,SHE,NULL,NULL,2,0,LC,"Sheboygan Redskins",301,0,264,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,0,7,5,6,6,0,0,0,0,0,0,0,13,11,24,NULL,NULL,0,SHE
1941,NBL,AGW,AGW,NULL,NULL,3,0,CS,"Akron Goodyear Wingfoots",421,0,248,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,11,2,4,7,0,0,0,0,0,0,0,15,9,24,NULL,NULL,0,AGW
1941,NBL,CHB,CHF,NULL,NULL,6,0,NULL,"Chicago Bruins",340,0,198,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,4,6,3,8,0,0,0,0,0,0,0,8,15,23,NULL,NULL,0,CHB
1941,NBL,FTW,DET,NULL,NULL,2,0,LC,"Fort Wayne Zollner Pistons",434,0,259,0,0,0,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,11,3,4,6,0,0,0,0,0,0,0,15,9,24,NULL,NULL,0,FWZ
1941,NBL,INK,INJ,NULL,NULL,4,0,CS,"Indianapolis Kautskys",356,0,242,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,10,1,2,10,0,0,0,0,0,0,0,12,11,23,NULL,NULL,0,INK
1941,NBL,OSH,OSH,NULL,NULL,1,0,WC,"Oshkosh All-Stars",441,0,301,0,0,0,0,0,0,0,0,0,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,13,1,7,3,0,0,0,0,0,0,0,20,4,24,NULL,NULL,0,OSH
1941,NBL,SHE,SHE,NULL,NULL,5,0,NULL,"Sheboygan Redskins",373,0,196,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,8,5,2,9,0,0,0,0,0,0,0,10,14,24,NULL,NULL,0,SHE
1941,NBL,TCH,TCH,NULL,NULL,7,0,NULL,"Toledo Jim White Chevrolets",323,0,228,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,0,2,4,0,16,0,0,0,0,0,0,0,3,21,24,NULL,NULL,0,TCH
1942,NBL,CHF,CHF,NULL,NULL,4,0,CS,"Chicago Studebaker Flyers",407,0,295,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,5,6,3,9,0,0,0,0,0,0,0,8,15,23,NULL,NULL,0,CHF
1942,NBL,FTW,DET,NULL,NULL,1,0,LC,"Fort Wayne Zollner Pistons",452,0,271,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,10,2,7,4,0,0,0,0,0,0,0,17,6,23,NULL,NULL,0,FWZ
1942,NBL,OSH,OSH,NULL,NULL,3,0,CS,"Oshkosh All-Stars",366,0,289,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,7,5,4,7,0,0,0,0,0,0,0,11,12,23,NULL,NULL,0,OSH
1942,NBL,SHE,SHE,NULL,NULL,2,0,WC,"Sheboygan Redskins",390,0,214,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,9,4,3,7,0,0,0,0,0,0,0,12,11,23,NULL,NULL,0,SHE
1942,NBL,TCH,TCH,NULL,NULL,5,0,NULL,"Toledo Jim White Chevrolets",66,0,23,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,NULL,NULL,0,TCH
1943,NBL,CCB,CAT,NULL,NULL,4,0,CS,"Cleveland Chase Brassmen",279,0,199,0,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,3,6,0,9,0,0,0,0,0,0,0,3,15,18,NULL,NULL,0,CCB
1943,NBL,FTW,DET,NULL,NULL,1,0,WC,"Fort Wayne Zollner Pistons",397,0,245,0,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,9,2,9,2,0,0,0,0,0,0,0,18,4,22,NULL,NULL,0,FWZ
1943,NBL,OSH,OSH,NULL,NULL,3,0,CS,"Oshkosh All-Stars",341,0,244,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,6,5,1,10,0,0,0,0,0,0,0,7,15,22,NULL,NULL,0,OSH
1943,NBL,SHE,SHE,NULL,NULL,2,0,LC,"Sheboygan Redskins",340,0,233,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,8,3,6,5,0,0,0,0,0,0,0,14,8,22,NULL,NULL,0,SHE
1944,NBL,CAT,CAT,NULL,EA,2,0,CF,"Cleveland Allmen Transfers",566,0,398,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,8,7,5,10,0,0,0,0,0,0,0,13,17,30,NULL,NULL,0,CAT
1944,NBL,CHG,CHG,NULL,WE,2,0,CF,"Chicago American Gears",585,0,377,0,0,0,0,0,0,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,11,4,3,12,0,0,0,0,0,0,0,14,16,30,NULL,NULL,0,CHG
1944,NBL,FTW,DET,NULL,EA,1,0,WC,"Fort Wayne Zollner Pistons",670,0,368,0,0,0,0,0,0,0,0,0,0,0,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,14,1,11,4,0,0,0,0,0,0,0,25,5,30,NULL,NULL,0,FWZ
1944,NBL,OSH,OSH,NULL,WE,3,0,NULL,"Oshkosh All-Stars",523,0,360,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,0,10,6,2,12,0,0,0,0,0,0,0,12,18,30,NULL,NULL,0,OSH
1944,NBL,PTR,PTR,NULL,EA,3,0,NULL,"Pittsburgh Raiders",590,0,280,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,0,0,5,9,2,14,0,0,0,0,0,0,0,7,23,30,NULL,NULL,0,PTR
1944,NBL,SHE,SHE,NULL,WE,1,0,LC,"Sheboygan Redskins",561,0,376,0,0,0,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,0,0,12,3,7,8,0,0,0,0,0,0,0,19,11,30,NULL,NULL,0,SHE
1945,NBL,CAT,CAT,NULL,EA,4,0,NULL,"Cleveland Allmen Transfers",565,0,384,0,0,0,0,0,0,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,0,0,4,11,0,18,0,0,0,0,0,0,0,4,29,33,NULL,NULL,0,CAT
1945,NBL,CHG,CHG,NULL,WE,3,0,NULL,"Chicago American Gears",610,0,426,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,0,0,10,7,7,10,0,0,0,0,0,0,0,17,17,34,NULL,NULL,0,CHG
1945,NBL,FTW,DET,NULL,EA,1,0,CF,"Fort Wayne Zollner Pistons",765,0,467,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,14,3,12,5,0,0,0,0,0,0,0,26,8,34,NULL,NULL,0,FWZ
1945,NBL,INK,INJ,NULL,WE,4,0,NULL,"Indianapolis Kautskys",595,0,294,0,0,0,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,0,0,4,11,6,11,0,0,0,0,0,0,0,10,22,32,NULL,NULL,0,INK
1945,NBL,OSH,OSH,NULL,WE,2,0,CF,"Oshkosh All-Stars",667,0,481,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,13,5,6,10,0,0,0,0,0,0,0,19,15,34,NULL,NULL,0,OSH
1945,NBL,ROC,SAC,NULL,EA,2,0,WC,"Rochester Royals",732,0,467,0,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,0,0,14,3,10,7,0,0,0,0,0,0,0,24,10,34,NULL,NULL,0,ROC
1945,NBL,SHE,SHE,NULL,WE,1,0,LC,"Sheboygan Redskins",656,0,423,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,0,0,12,6,9,7,0,0,0,0,0,0,0,21,13,34,NULL,NULL,0,SHE
1945,NBL,YOU,YOU,NULL,EA,3,0,NULL,"Youngstown Bears",551,0,416,0,0,0,0,0,0,0,0,0,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,0,9,8,4,12,0,0,0,0,0,0,0,13,20,33,NULL,NULL,0,YOU
1946,NBL,AND,AND,NULL,WE,5,0,NULL,"Anderson Duffey Packers",969,0,690,1041,0,0,0,0,0,0,0,0,0,0,2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,0,0,16,6,8,14,0,0,0,0,0,0,0,24,20,44,NULL,NULL,0,AND
1946,NBA,BOS,BOS,NULL,ED,5,0,NULL,"Boston Celtics",1397,5133,811,1375,0,0,0,0,0,470,1202,0,0,0,3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3898,0,0,14,16,8,22,0,0,0,0,11,19,0,22,38,60,14500,"Boston Garden",32767,BOS
1946,NBL,CHG,CHG,NULL,WE,3,0,WC,"Chicago American Gears",987,0,595,886,0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,0,15,7,11,11,0,0,0,0,0,0,0,26,18,44,NULL,NULL,0,CHG
1946,NBA,CHS,CHS,NULL,WD,1,0,F,"Chicago Stags",1879,6309,939,1550,0,0,0,0,0,436,1473,0,0,0,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473,0,0,22,9,17,13,0,0,0,0,17,8,0,39,22,61,14840,"Chicago Stadium",0,CHS
1946,NBA,CLR,CLR,NULL,WD,3,0,R1,"Cleveland Rebels",1674,5699,903,1428,0,0,0,0,0,494,1246,0,0,0,4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,0,0,17,13,13,17,0,0,0,0,10,14,0,30,30,60,14600,"Cleveland Arena",0,CLR
1946,NBA,DTF,DTF,NULL,WD,4,0,NULL,"Detroit Falcons",1437,5843,923,1494,0,0,0,0,0,482,1351,0,0,0,3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917,0,0,12,18,8,22,0,0,0,0,8,16,0,20,40,60,14600,"Detroit Olympia",0,DTF
1946,NBL,DTG,LAL,NULL,WE,6,0,NULL,"Detroit Gems",825,0,488,836,0,0,0,0,0,0,0,0,0,0,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,0,0,4,18,0,22,0,0,0,0,0,0,0,4,40,44,NULL,NULL,0,DTG
1946,NBL,FTW,DET,NULL,EA,2,0,CF,"Fort Wayne Zollner Pistons",950,0,666,1008,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,0,0,17,5,8,14,0,0,0,0,0,0,0,25,19,44,NULL,NULL,0,FWZ
1946,NBL,INK,INJ,NULL,WE,2,0,CS,"Indianapolis Kautskys",980,0,543,842,0,0,0,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337,0,0,19,3,8,14,0,0,0,0,0,0,0,27,17,44,NULL,NULL,0,INK
1946,NBA,NYK,NYK,NULL,ED,3,0,SF,"New York Knicks",1465,5255,951,1438,0,0,0,0,0,457,1218,0,0,0,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3842,0,0,18,12,15,15,0,0,0,0,13,17,0,33,27,60,14575,"Madison Square Garden (III)",32767,NYK
1946,NBL,OSH,OSH,NULL,WE,1,0,CF,"Oshkosh All-Stars",950,0,654,952,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,0,0,19,3,9,13,0,0,0,0,0,0,0,28,16,44,NULL,NULL,0,OSH
1946,NBA,PHW,GSW,NULL,ED,2,0,NC,"Philadelphia Warriors",1510,5384,1098,1596,0,0,0,0,0,343,1082,0,0,0,4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3909,0,0,23,7,12,18,0,0,0,0,19,11,0,35,25,60,14575,"Philadelphia Arena",32767,PHW
1946,NBA,PIT,PIT,NULL,WD,5,0,NULL,"Pittsburgh Ironmen",1345,4961,984,1507,0,0,0,0,0,272,1360,0,0,0,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,0,11,19,4,26,0,0,0,0,6,18,0,15,45,60,14600,"Duquesne Gardens",0,PTI
1946,NBA,PRO,PRO,NULL,ED,4,0,NULL,"Providence Steamrollers",1629,5582,1092,1666,0,0,0,0,0,481,1215,0,0,0,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,0,0,19,11,9,21,0,0,0,0,12,18,0,28,32,60,14600,"Rhode Island Auditorium",0,PRO
1946,NBL,ROC,SAC,NULL,EA,1,0,LC,"Rochester Royals",1048,0,672,1004,0,0,0,0,0,0,0,0,0,0,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,19,3,12,10,0,0,0,0,0,0,0,31,13,44,NULL,NULL,0,ROC
1946,NBL,SHE,SHE,NULL,WE,4,0,CS,"Sheboygan Redskins",890,0,620,928,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339,0,0,20,2,6,16,0,0,0,0,0,0,0,26,18,44,NULL,NULL,0,SHE
1946,NBA,STB,STB,NULL,WD,2,0,R1,"St. Louis Bombers",1601,5877,862,1400,0,0,0,0,0,292,1234,0,0,0,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3911,0,0,22,8,16,15,0,0,0,0,20,5,0,38,23,61,14840,"St. Louis Arena",0,STB
1946,NBL,SYR,PHI,NULL,EA,4,0,CS,"Syracuse Nationals",930,0,597,922,0,0,0,0,0,0,0,0,0,0,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442,0,0,14,8,7,15,0,0,0,0,0,0,0,21,23,44,NULL,NULL,0,SYR
1946,NBL,TOL,TOL,NULL,EA,3,0,CS,"Toledo Jeeps",970,0,600,929,0,0,0,0,0,0,0,0,0,0,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499,0,0,13,9,8,14,0,0,0,0,0,0,0,21,23,44,NULL,NULL,0,TOL
1946,NBA,TRH,TRH,NULL,ED,5,0,NULL,"Toronto Huskies",1515,5672,966,1552,0,0,0,0,0,463,1271,0,0,0,3996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4262,0,0,15,15,7,23,0,0,0,0,10,20,0,22,38,60,14600,"Maple Leaf Gardens",0,TRH
1946,NBL,TRI,ATL,NULL,EA,5,0,NULL,"Tri-Cities Blackhawks",819,0,522,846,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,0,0,12,10,7,15,0,0,0,0,0,0,0,19,25,44,NULL,NULL,0,TCB
1946,NBA,WSC,WSC,NULL,ED,1,0,SF,"Washington Capitols",1723,5794,982,1391,0,0,0,0,0,378,1144,0,0,0,4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3836,0,0,29,1,20,10,0,0,0,0,25,5,0,49,11,60,14600,"Uline Arena",0,WSC
